date,equity
2026-04-18,100000.0
2026-04-19,100000.0
2026-04-20,100000.0
2026-04-21,100000.0
2026-04-22,100000.0
2026-04-23,100000.0
2026-04-24,100000.0
2026-04-25,100000.0
2026-04-26,100000.0
2026-04-27,100000.0
2026-04-28,100000.0
2026-04-29,100000.0
2026-04-30,100000.0
2026-05-01,100000.0
2026-05-02,100000.0
2026-05-03,100000.0
2026-05-04,100000.0
2026-05-05,100000.0
2026-05-06,100000.0
2026-05-07,100000.0
2026-05-08,100000.0
2026-05-09,100000.0
2026-05-10,98921.93025825341
2026-05-11,98921.93025825341
2026-05-12,98921.93025825341
2026-05-13,98921.93025825341
2026-05-14,98921.93025825341
2026-05-15,98921.93025825341
2026-05-16,98921.93025825341
2026-05-17,98921.93025825341
2026-05-18,98921.93025825341
2026-05-19,98921.93025825341
2026-05-20,98921.93025825341
2026-05-21,98921.93025825341
2026-05-22,98921.93025825341
2026-05-23,98921.93025825341
2026-05-24,98921.93025825341
2026-05-25,98921.93025825341
2026-05-26,98921.93025825341
2026-05-27,98921.93025825341
2026-05-28,98921.93025825341
2026-05-29,98921.93025825341
2026-05-30,98921.93025825341
2026-05-31,99494.67298756316
2026-06-01,99494.67298756316
2026-06-02,103995.58014160843
2026-06-03,106547.04783543019
2026-06-04,106547.04783543019
2026-06-05,106547.04783543019
2026-06-06,105228.38828812551
2026-06-07,109519.43060894
2026-06-08,114383.94352450263
2026-06-09,114295.99200516415
2026-06-10,114295.99200516415
2026-06-11,114295.99200516415
2026-06-12,114295.99200516415
2026-06-13,114295.99200516415
2026-06-14,114295.99200516415
2026-06-15,114295.99200516415
2026-06-16,114295.99200516415
2026-06-17,114295.99200516415
2026-06-18,114295.99200516415
2026-06-19,114295.99200516415
2026-06-20,114295.99200516415
2026-06-21,114295.99200516415
2026-06-22,114295.99200516415
2026-06-23,114295.99200516415
2026-06-24,114295.99200516415
2026-06-25,114295.99200516415
2026-06-26,114295.99200516415
2026-06-27,114295.99200516415
2026-06-28,114295.99200516415
2026-06-29,114295.99200516415
2026-06-30,114295.99200516415
2026-07-01,114295.99200516415
2026-07-02,114295.99200516415
2026-07-03,113294.26652192873
2026-07-04,109307.95876848671
2026-07-05,109307.95876848671
2026-07-06,109307.95876848671
2026-07-07,109307.95876848671
2026-07-08,109307.95876848671
2026-07-09,109307.95876848671
2026-07-10,109307.95876848671
2026-07-11,109307.95876848671
2026-07-12,109307.95876848671
2026-07-13,109307.95876848671
2026-07-14,109307.95876848671
2026-07-15,109307.95876848671
2026-07-16,109307.95876848671
2026-07-17,109307.95876848671
