symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,session_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
BTCUSDT,short,2022-01-02 08:00:00,2022-01-02 08:00:00,47166.0,2022-01-02 16:00:00,2022-01-02 16:00:00,47366.57,time_stop,-54.5243,-0.005452,32,london,0.2971,1.0,100000.0
BTCUSDT,long,2022-01-02 18:00:00,2022-01-02 18:00:00,47170.895,2022-01-03 02:00:00,2022-01-03 02:00:00,47055.91,time_stop,-36.3763,-0.003638,32,us,0.0156,1.0,100000.0
BTCUSDT,short,2022-01-03 08:00:00,2022-01-03 08:00:00,47021.02,2022-01-03 11:15:00,2022-01-03 11:15:00,47317.98,hard_stop,-75.1547,-0.007515,13,london,0.1925,1.0,100000.0
BTCUSDT,short,2022-01-03 14:00:00,2022-01-03 14:00:00,47122.905,2022-01-03 15:45:00,2022-01-03 15:45:00,46689.99,take_profit,79.8693,0.007987,7,london,0.579,1.0,100000.0
BTCUSDT,short,2022-01-04 08:00:00,2022-01-04 08:00:00,46519.825,2022-01-04 13:15:00,2022-01-04 13:15:00,46871.1,hard_stop,-87.5108,-0.008751,21,london,0.4803,1.0,100000.0
BTCUSDT,short,2022-01-04 17:30:00,2022-01-04 17:30:00,46697.05,2022-01-04 18:30:00,2022-01-04 18:30:00,46107.68,take_profit,114.2114,0.011421,4,us,0.4915,1.0,100000.0
BTCUSDT,short,2022-01-04 20:30:00,2022-01-04 20:30:00,46333.095,2022-01-04 23:45:00,2022-01-04 23:45:00,45833.42,take_profit,95.8441,0.009584,13,us,0.4367,1.0,100000.0
BTCUSDT,short,2022-01-05 11:45:00,2022-01-05 11:45:00,46271.93,2022-01-05 14:45:00,2022-01-05 14:45:00,46682.79,hard_stop,-100.7925,-0.010079,12,london,0.3199,1.0,100000.0
BTCUSDT,short,2022-01-05 17:30:00,2022-01-05 17:30:00,46189.495,2022-01-05 19:30:00,2022-01-05 19:30:00,45291.44,take_profit,182.4284,0.018243,8,us,0.0214,1.0,100000.0
BTCUSDT,long,2022-01-06 10:45:00,2022-01-06 10:45:00,42874.38,2022-01-06 18:45:00,2022-01-06 18:45:00,43353.88,take_profit,99.8384,0.009984,32,london,0.4781,1.0,100000.0
