variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,cost_pct,net_pnl_pct,bars_held,decision_tf,size_mult,conviction,exit_reason,z_entry,z_exit
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2024-01-19 20:15:00+00:00,2503.48,2024-01-19 20:16:00+00:00,2498.52,0.001981242110981496,0.003,-0.0010187578890185041,1,15m,1.0,high,take_profit,5.244540180659457,5.244540180659457
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2024-01-19 20:21:00+00:00,2495.92,2024-01-19 20:26:00+00:00,2490.29,0.00225568127183573,0.003,-0.0007443187281642701,5,15m,1.0,high,take_profit,5.244540180659457,5.244540180659457
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2024-01-19 20:31:00+00:00,2491.49,2024-01-19 20:33:00+00:00,2494.53,-0.0012201534021811788,0.003,-0.004220153402181179,2,15m,1.0,high,hard_stop,4.656799637967186,4.656799637967186
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2024-01-19 20:38:00+00:00,2494.16,2024-01-19 20:47:00+00:00,2491.07,0.0012388940565158935,0.003,-0.0017611059434841066,9,15m,1.0,high,take_profit,4.656799637967186,3.7802262913380593
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2024-01-19 20:52:00+00:00,2489.31,2024-01-19 20:53:00+00:00,2487.05,0.0009078821038760454,0.003,-0.0020921178961239547,1,15m,1.0,high,take_profit,3.7802262913380593,3.7802262913380593
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2024-01-19 20:58:00+00:00,2483.26,2024-01-19 20:59:00+00:00,2485.05,-0.0007208266552838349,0.003,-0.003720826655283835,1,15m,1.0,high,hard_stop,3.7802262913380593,3.7802262913380593
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2024-01-19 21:04:00+00:00,2485.04,2024-01-19 21:06:00+00:00,2480.82,0.0016981618002124277,0.003,-0.0013018381997875724,2,15m,1.0,high,take_profit,3.5981614222315623,3.5981614222315623
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2024-01-19 21:11:00+00:00,2484.9,2024-01-19 21:12:00+00:00,2486.4,-0.0006036460219727147,0.003,-0.0036036460219727147,1,15m,1.0,high,hard_stop,3.5981614222315623,3.5981614222315623
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2024-01-19 21:17:00+00:00,2485.35,2024-01-19 21:25:00+00:00,2487.33,-0.0007966684772768851,0.003,-0.003796668477276885,8,15m,1.0,high,hard_stop,3.275684479111289,3.275684479111289
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2024-01-20 00:15:00+00:00,2485.71,2024-01-20 00:19:00+00:00,2483.56,0.0008649440200184655,0.003,-0.0021350559799815346,4,15m,1.0,high,take_profit,2.0693829246148265,2.0693829246148265
