variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,cost_pct,net_pnl_pct,bars_held,decision_tf,size_mult,conviction,exit_reason,z_entry,z_exit
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-07-17 16:30:00+00:00,64335.1,2024-07-17 16:31:00+00:00,64295.2,-0.0006201902227556122,0.003,-0.0036201902227556123,1,15m,1.0,high,hard_stop,-2.2079080258466757,-2.2079080258466757
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-07-17 16:36:00+00:00,64171.9,2024-07-17 16:38:00+00:00,64166.4,-8.570729556078849e-05,0.003,-0.0030857072955607886,2,15m,1.0,high,hard_stop,-2.2079080258466757,-2.2079080258466757
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-07-17 16:43:00+00:00,63845.1,2024-07-17 16:44:00+00:00,64010.0,0.0025828137163228515,0.003,-0.00041718628367714856,1,15m,1.0,high,take_profit,-2.2079080258466757,-2.2079080258466757
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-07-17 17:00:00+00:00,64221.3,2024-07-17 17:05:00+00:00,64206.8,-0.00022578178890808598,0.003,-0.003225781788908086,5,15m,1.0,high,trailing_stop,-2.148128530332672,-2.148128530332672
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,long,2024-07-17 17:10:00+00:00,64000.1,2024-07-17 17:14:00+00:00,63930.7,-0.001084373305666686,0.003,-0.004084373305666686,4,15m,1.0,high,hard_stop,-2.148128530332672,-2.148128530332672
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 20:15:00+00:00,64569.2,2024-07-25 20:16:00+00:00,64662.4,-0.001443412648755249,0.003,-0.004443412648755249,1,15m,1.0,high,hard_stop,3.8017379740214903,3.8017379740214903
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 20:21:00+00:00,64662.9,2024-07-25 20:23:00+00:00,64744.0,-0.0012541967650692154,0.003,-0.0042541967650692155,2,15m,1.0,high,hard_stop,3.8017379740214903,3.8017379740214903
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 20:28:00+00:00,64728.0,2024-07-25 20:30:00+00:00,64820.0,-0.0014213323445804171,0.003,-0.004421332344580417,2,15m,1.0,high,hard_stop,3.8017379740214903,3.9334110407362486
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 20:35:00+00:00,64717.8,2024-07-25 20:36:00+00:00,64743.2,-0.00039247316812374144,0.003,-0.0033924731681237415,1,15m,1.0,high,hard_stop,3.9334110407362486,3.9334110407362486
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 20:41:00+00:00,64948.0,2024-07-25 20:43:00+00:00,64872.8,0.0011578493564081693,0.003,-0.0018421506435918307,2,15m,1.0,high,take_profit,3.9334110407362486,3.9334110407362486
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 20:48:00+00:00,64939.9,2024-07-25 20:49:00+00:00,64943.2,-5.081621622449184e-05,0.003,-0.003050816216224492,1,15m,1.0,high,hard_stop,4.398807090098008,4.398807090098008
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 20:54:00+00:00,65020.0,2024-07-25 20:55:00+00:00,65009.7,0.00015841279606276792,0.003,-0.002841587203937232,1,15m,1.0,high,hard_stop,4.398807090098008,4.398807090098008
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 21:00:00+00:00,65275.7,2024-07-25 21:02:00+00:00,65340.1,-0.000986584594267148,0.003,-0.003986584594267148,2,15m,1.0,high,hard_stop,4.246372562872784,4.246372562872784
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 21:07:00+00:00,65355.0,2024-07-25 21:09:00+00:00,65231.5,0.0018896794430418584,0.003,-0.0011103205569581416,2,15m,1.0,high,take_profit,4.246372562872784,4.246372562872784
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 21:14:00+00:00,65357.1,2024-07-25 21:15:00+00:00,65437.6,-0.0012316947967396796,0.003,-0.00423169479673968,1,15m,1.0,high,hard_stop,4.246372562872784,4.176562912570922
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 21:20:00+00:00,65484.7,2024-07-25 21:21:00+00:00,65503.0,-0.000279454590156325,0.003,-0.003279454590156325,1,15m,1.0,high,hard_stop,4.176562912570922,4.176562912570922
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-07-25 21:26:00+00:00,65738.1,2024-07-25 21:27:00+00:00,65599.9,0.0021022816296791813,0.003,-0.0008977183703208188,1,15m,1.0,high,take_profit,4.176562912570922,4.176562912570922
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-08-02 04:15:00+00:00,64558.7,2024-08-02 04:16:00+00:00,64457.3,0.0015706635976250327,0.003,-0.0014293364023749673,1,15m,1.0,high,take_profit,2.685344266859021,2.685344266859021
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-08-02 04:21:00+00:00,64540.7,2024-08-02 04:24:00+00:00,64598.9,-0.0009017565660118798,0.003,-0.00390175656601188,3,15m,1.0,high,hard_stop,2.685344266859021,2.685344266859021
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-08-02 04:29:00+00:00,64468.9,2024-08-02 04:30:00+00:00,64525.0,-0.0008701870204081974,0.003,-0.0038701870204081975,1,15m,1.0,high,hard_stop,2.685344266859021,2.620246476927701
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-08-02 04:35:00+00:00,64456.4,2024-08-02 04:36:00+00:00,64487.4,-0.0004809452591207908,0.003,-0.003480945259120791,1,15m,1.0,high,hard_stop,2.620246476927701,2.620246476927701
vpvr_edge_zscore_multi_tf_v1_20260720,BTCUSDT,short,2024-08-02 04:41:00+00:00,64502.6,2024-08-02 04:49:00+00:00,64515.7,-0.00020309258851569645,0.003,-0.0032030925885156965,8,15m,1.0,high,hard_stop,2.620246476927701,2.5146169890273944
